mien,ma_dai,ten_dai,ngay_mo_thuong
BẮC,MB,CÔNG TY TNHH MTV XỔ SỐ KIẾN THIẾT THỦ ĐÔ,HÀNG NGÀY
TRUNG,HUE,THỪA THIÊN HUẾ,THỨ 2
TRUNG,PY,PHÚ YÊN,THỨ 2
TRUNG,DLK,ĐẮK LẮK,THỨ 3
TRUNG,QNM,QUẢNG NAM,THỨ 3
TRUNG,DNG,ĐÀ NẴNG,THỨ 4
TRUNG,KH,KHÁNH HÒA,THỨ 4
TRUNG,BDI,BÌNH ĐỊNH,THỨ 5
TRUNG,QB,QUẢNG BÌNH,THỨ 5
TRUNG,QT,QUẢNG TRỊ,THỨ 5
TRUNG,GL,GIA LAI,THỨ 6
TRUNG,NT,NINH THUẬN,THỨ 6
TRUNG,DNG,ĐÀ NẴNG,THỨ 7
TRUNG,QNG,QUẢNG NGÃI,THỨ 7
TRUNG,DNO,ĐẮK NÔNG,THỨ 7
TRUNG,KH,KHÁNH HÒA,CHỦ NHẬT
TRUNG,KT,KON TUM,CHỦ NHẬT
NAM,HCM,TP. HỒ CHÍ MINH,THỨ 2
NAM,DT,ĐỒNG THÁP,THỨ 2
NAM,CM,CÀ MAU,THỨ 2
NAM,BR,BẾN TRE,THỨ 3
NAM,VT,VŨNG TÀU,THỨ 3
NAM,BL,BẠC LIÊU,THỨ 3
NAM,CT,CẦN THƠ,THỨ 4
NAM,DN,ĐỒNG NAI,THỨ 4
NAM,ST,SÓC TRĂNG,THỨ 4
NAM,TN,TÂY NINH,THỨ 5
NAM,AG,AN GIANG,THỨ 5
NAM,BTH,BÌNH THUẬN,THỨ 5
NAM,VL,VĨNH LONG,THỨ 6
NAM,BD,BÌNH DƯƠNG,THỨ 6
NAM,TV,TRÀ VINH,THỨ 6
NAM,HCM,TP. HỒ CHÍ MINH,THỨ 7
NAM,LA,LONG AN,THỨ 7
NAM,BP,BÌNH PHƯỚC,THỨ 7
NAM,HG,HẬU GIANG,THỨ 7
NAM,TG,TIỀN GIANG,CHỦ NHẬT
NAM,KG,KIÊN GIANG,CHỦ NHẬT
NAM,LD,ĐÀ LẠT (LÂM ĐỒNG),CHỦ NHẬT